Timestamp,Incident_Severity,Incident_Type,Region_Type,Traffic_Congestion,Weather_Condition,Drone_Availability,Ambulance_Availability,Battery_Life,Air_Traffic,Response_Time,Hospital_Capacity,Distance_to_Incident,Number_of_Injuries,Specialist_Availability,Road_Type,Emergency_Level,Drone_Speed,Ambulance_Speed,Payload_Weight,Fuel_Level,Weather_Impact,Dispatch_Coordinator,Label
2023-02-06 06:20:00,Low,Fire,Urban,Low,Rainy,Available,Available,56.65433943157837,Low,14.66,37,4.74,2,Available,Local Road,Minor,49.66824631454347,37.66633369831226,7.59,60.53434074850267,Moderate,Human,Ambulance Only
2023-11-27 11:30:00,Low,Accident,Urban,Moderate,Clear,Available,Available,68.46568191948415,Low,14.89,95,24.65,2,Available,Highway,Major,70.38690267983495,36.365518082918406,8.85,87.47461487939435,,Human,Hybrid Dispatch
2020-01-21 11:40:00,Low,Accident,Urban,Low,Clear,Available,Available,92.6096671608273,Low,13.38,67,40.31,1,Available,Highway,Minor,72.02148837853669,41.74583350769074,3.95,67.53065535899641,,Human,Drone Only
2024-07-31 17:50:00,Low,Cardiac Arrest,Urban,High,Rainy,Available,Available,74.24878643640095,High,20.72,56,36.5,2,Unavailable,Highway,Minor,58.36349018010247,38.99249852598899,7.89,74.59946198316679,,Human,Drone Only
2024-07-23 07:20:00,Medium,Accident,Urban,Moderate,Clear,Available,Available,87.29047887143719,Low,12.74,29,7.33,2,Unavailable,Highway,Minor,57.3764074766997,36.01610792781948,9.41,65.03351713792325,Moderate,AI,Drone Only
2020-07-17 17:10:00,High,Cardiac Arrest,Urban,Low,Clear,Unavailable,Available,81.3386765916259,Low,10.0,83,1.51,1,Unavailable,Highway,Major,54.12754873334031,47.04335270048584,1.94,54.31012893573008,Moderate,Human,Hybrid Dispatch
2023-10-24 23:30:00,Low,Cardiac Arrest,Urban,Low,Clear,Available,Available,75.66553871424185,Low,18.68,87,23.81,2,Unavailable,Local Road,Minor,64.82703062249703,39.09921473020124,2.54,79.07667537285754,,AI,Drone Only
2024-04-10 03:20:00,Medium,Cardiac Arrest,Urban,Low,Clear,Unavailable,Available,81.46062910142926,Low,14.57,98,25.13,1,Available,Highway,Minor,74.5262948042153,36.27807502742673,4.12,78.23201322873271,,Human,Hybrid Dispatch
2024-04-02 07:40:00,Low,Accident,Urban,Moderate,Clear,Unavailable,Available,73.26368684135296,Low,10.0,86,12.81,1,Available,Highway,Minor,60.10833356431748,47.64798951802119,6.37,33.71525517756543,,Human,Drone Only
2023-08-15 03:00:00,Medium,Cardiac Arrest,Urban,Low,Clear,Unavailable,Available,80.07762453451122,Low,18.48,68,11.49,1,Unavailable,Local Road,Minor,69.78724909809713,45.2659852229646,6.57,70.99128035570114,,Human,Drone Only
2019-03-13 10:10:00,Medium,Accident,Urban,Low,Clear,Available,Available,75.2839193568478,Low,17.17,92,25.41,3,Unavailable,Unpaved Road,Major,61.56590092846679,33.03557015972083,5.73,48.947490118342586,,Human,Ambulance Only
2019-11-28 07:30:00,Low,Accident,Urban,Moderate,Clear,Available,Available,77.2616153420524,Medium,10.0,67,18.93,1,Unavailable,Highway,Minor,47.3015486571996,54.49920742820549,9.82,45.02155520401354,Moderate,Human,Drone Only
2018-09-27 06:20:00,Medium,Fire,Urban,Moderate,Clear,Available,Available,64.86557896647273,Low,11.94,91,18.97,1,Unavailable,Highway,Minor,62.486226803877486,36.59924078402151,1.47,63.53316498562565,,AI,Hybrid Dispatch
2018-07-09 07:40:00,Low,Accident,Urban,Moderate,Clear,Available,Unavailable,88.19358045863551,Low,16.49,90,24.89,2,Unavailable,Local Road,Minor,56.83948509987639,43.708475834354175,4.94,59.66914029880023,,AI,Ambulance Only
2018-12-06 09:20:00,Low,Other,Urban,High,Clear,Available,Available,75.91378925650721,Low,24.17,16,48.59,1,Unavailable,Highway,Critical,78.99762817139631,30.24880659484865,7.99,92.6915234513844,,Human,Drone Only
2021-11-09 20:00:00,Low,Cardiac Arrest,Urban,Low,Clear,Available,Available,85.43280575086429,Medium,12.07,21,3.83,1,Unavailable,Local Road,Minor,57.02745198742798,20.291281639126783,6.18,53.15911750073406,,Human,Ambulance Only
2023-09-08 11:00:00,Medium,Accident,Suburban,Low,Clear,Available,Available,71.63055631559571,Low,14.14,86,33.94,2,Unavailable,Highway,Minor,62.756679444442256,37.09987258276589,8.81,70.07457045407531,,AI,Ambulance Only
2020-04-02 17:20:00,Medium,Accident,Suburban,Low,Clear,Available,Available,75.2339442682593,Medium,11.46,93,10.42,1,Unavailable,Highway,Minor,60.314966705546304,44.48799613164736,8.73,71.30317866722446,,AI,Drone Only
2020-10-08 08:00:00,Low,Cardiac Arrest,Urban,Moderate,Clear,Available,Unavailable,76.6472823201718,High,27.13,65,39.34,1,Unavailable,Highway,Critical,73.4758062770335,27.532410150788664,7.32,71.40574919474288,,AI,Ambulance Only
2024-11-25 10:40:00,Low,Accident,Urban,Moderate,Clear,Available,Available,75.23519744982569,Medium,16.07,99,45.91,1,Unavailable,Highway,Major,58.48017894499929,48.74276187099493,9.5,70.17896493993547,Severe,Human,Drone Only
2024-11-08 07:20:00,Low,Accident,Rural,Low,Clear,Available,Available,88.97014370084116,Low,20.13,68,28.47,1,Available,Highway,Critical,73.71388317371671,27.55797609465532,2.07,92.78770527694306,,Human,Drone Only
2019-05-17 18:40:00,Low,Other,Urban,High,Clear,Available,Available,84.75633656432106,Medium,18.59,93,30.77,1,Unavailable,Local Road,Minor,56.8968328946508,46.69368376075927,5.43,59.081700762142745,,Human,Hybrid Dispatch
2021-04-13 22:30:00,High,Cardiac Arrest,Suburban,Low,Clear,Available,Available,89.44663273160909,Low,21.84,24,41.43,1,Available,Highway,Minor,72.37759615754827,59.04838850684176,7.93,69.59387843671132,,Human,Ambulance Only
2022-06-14 05:00:00,Low,Accident,Urban,Moderate,Rainy,Available,Available,79.63742578889918,Medium,17.18,89,29.03,2,Unavailable,Highway,Minor,63.63934866390503,34.183906019287384,8.19,33.077846768961805,Severe,Human,Ambulance Only
2022-07-09 13:00:00,Low,Other,Urban,High,Clear,Available,Available,86.5110922605926,Medium,16.0,24,30.21,3,Available,Highway,Minor,52.50547386471724,50.44724388468932,2.48,84.17933645244771,,Human,Drone Only
2018-05-27 11:10:00,Medium,Accident,Rural,Moderate,Clear,Available,Available,88.7953763834433,Low,15.79,70,15.96,2,Unavailable,Highway,Minor,69.69364545288923,34.45473490488848,3.41,69.38081888326593,,AI,Drone Only
2023-09-06 05:00:00,High,Accident,Suburban,Low,Clear,Unavailable,Unavailable,80.28640976213215,Low,11.86,67,5.09,1,Available,Highway,Minor,56.65153202563776,38.05937396054913,4.78,68.97073834726007,Moderate,Human,Drone Only
2020-08-09 23:20:00,Low,Accident,Urban,Low,Clear,Available,Available,82.4369432036984,Medium,12.06,49,3.96,2,Unavailable,Local Road,Critical,73.5049257486339,46.008477675596936,1.5,78.1366600930131,Moderate,Human,Ambulance Only
